Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Aldershot;Gerald Howarth;19;Hampshire;72434;23369;8468;4076;8253;2025;0;0;0
Aldridge-Brownhills;Wendy Morton;9;Black Country;60215;20558;8835;1330;7751;826;0;0;197
Altrincham and Sale West;Graham Brady;6;Central Manchester;72004;26771;13481;4235;4047;1983;0;0;0
Amber Valley;Nigel Mills;10;Derbyshire;70226;20106;15901;1360;7263;1087;0;0;0
Arundel and South Downs;Nick Herbert;20;West Sussex;77272;34331;6324;4062;8154;3606;0;0;0
Ashfield;Gloria de Piero;10;Nottinghamshire;77126;10628;19448;7030;10150;0;0;0;153
Ashford;Damian Green;20;Kent;85189;30094;10580;3433;10798;2467;0;0;0
Ashton under Lyne;Angela Rayner;6;Eastern Manchester;67714;8610;19366;943;8468;1531;0;0;0
Aylesbury;David Lidington;14;Buckinghamshire;80611;28083;8391;5885;10925;2135;0;0;0
Banbury;Victoria Prentis;15;Oxfordshire;86420;30749;12354;3440;8050;2686;0;0;729
Barking;Margaret Hodge;16;Barking and Dagenham;74004;7019;24826;562;9554;879;0;0;183
Barnsley Central;Dan Jarvis;8;South Yorkshire;64534;5485;20376;770;7941;938;0;573;477
Barnsley East;Michael Dugher;8;South Yorkshire;69135;5622;21079;1217;9045;0;0;647;907
Barrow and Furness;John Woodcock;4;Cumbria;68338;17525;18320;1169;5070;1061;0;0;130
Basildon and Billericay;John Baron;14;Essex;68459;22668;10186;1636;8538;0;0;0;0
Basildon South and East Thurrock;Stephen Metcalfe;14;Essex;73210;19788;11493;1356;12097;0;0;0;859
Basingstoke;Maria Miller;19;Hampshire;79662;25769;14706;3919;8290;0;0;0;392
Bassetlaw;John Mann;10;Nottinghamshire;77480;15122;23965;1331;7865;1006;0;0;0
Bath;Ben Howlett;15;Bristol area;60869;17833;6216;14000;2922;5634;0;0;562
Batley and Spen;Jo Cox;7;West Yorkshire;78373;15769;21826;2396;9080;1232;0;0;176
Battersea;Jane Ellison;17;Wandsworth;76106;26730;18792;2241;1586;1682;0;0;0
Beaconsfield;Dominic Grieve;14;Buckinghamshire;76380;33621;6074;3927;7310;2231;0;0;0
Beckenham;Bob Stewart;17;Bromley;67436;27955;9484;3378;6108;1878;0;0;0
Bedford;Richard Fuller;13;Bedfordshire;69311;19625;18528;1958;4434;1412;0;0;129
Bedfordshire Mid;Nadine Dorries;13;Bedfordshire;81144;32544;9217;4193;8966;2462;0;0;678
Bedfordshire North East;Alistair Burt;13;Bedfordshire;83551;34891;9247;3418;8579;2537;0;0;0
Bedfordshire South West;Andrew Selous;13;Bedfordshire;79664;28212;10399;2646;7941;2106;0;0;0
Bermondsey and Old Southwark;Neil Coyle;17;Southwark;80604;6051;22146;17657;3254;2023;0;0;293
Berwick-upon-Tweed;Anne-Marie Trevelyan;4;Northumberland;58098;16603;6042;11689;4513;1488;0;0;88
Bethnal Green and Bow;Rushanara Ali;16;Tower Hamlets;82825;8070;32387;2395;3219;4906;0;0;1947
Beverley and Holderness;Graham Stuart;8;Humber area;80822;25363;13160;2900;8794;1802;0;0;658
Bexhill and Battle;Huw Merriman;20;East Sussex;78796;30245;7797;4199;10170;2807;0;0;0
Bexleyheath and Crayford;David Evennett;17;Bexley;64828;20643;11451;1308;9182;950;0;0;151
Birkenhead;Frank Field;5;Merseyside;62438;5816;26468;1396;3838;1626;0;0;0
Birmingham Edgbaston;Gisela Stuart;9;Birmingham;65591;15812;18518;1184;4154;1371;0;0;254
Birmingham Erdington;Jack Dromey;9;Birmingham;65128;10695;15824;965;6040;948;0;0;212
Birmingham Hall Green;Roger Godsiff;9;Birmingham;76330;8329;28147;5459;2131;2200;0;0;780
Birmingham Hodge Hill;Liam Byrne;9;Birmingham;75302;4707;28069;2624;4651;835;0;0;153
Birmingham Ladywood;Shabana Mahmood;9;Birmingham;68128;4576;26444;1374;1805;1501;0;0;216
Birmingham Northfield;Richard Burden;9;Birmingham;71428;15164;17673;1349;7106;1169;0;0;0
Birmingham Perry Barr;Khalid Mahmood;9;Birmingham;69943;8869;23697;2001;5032;1330;0;0;331
Birmingham Selly Oak;Stephen McCabe;9;Birmingham;75092;13137;21584;2517;5755;2301;0;0;0
Birmingham Yardley;Jess Phillips;9;Birmingham;72146;5760;17129;10534;6637;698;0;0;393
Bishop Auckland;Helen Goodman;4;Durham;66089;12799;16307;1723;7015;1545;0;0;0
Blackburn;Kate Hollern;5;Lancashire;73265;12002;24762;955;6280;0;0;0;0
Blackley and Broughton;Graham Stringer;6;Central Manchester;71900;5581;22982;874;6108;1567;0;0;0
Blackpool North and Cleveleys;Paul Maynard;5;Lancashire;62469;17508;14168;948;5823;889;0;0;57
Blackpool South;Gordon Marsden;5;Lancashire;57411;10963;13548;743;5613;841;0;0;728
Blaydon;David Anderson;4;Newcastle area;67706;7838;22090;5497;7863;1648;0;0;0
Blyth Valley;Ronnie Campbell;4;Northumberland;63958;8346;17813;2265;8584;1453;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;20;West Sussex;73095;24185;6508;4240;10241;1942;0;0;0
Bolsover;Dennis Skinner;10;Derbyshire;71976;10764;22542;1464;9228;0;0;0;0
Bolton North East;David Crausby;6;Western Manchester;67901;14164;18541;1236;8117;1103;0;0;0
Bolton South East;Yasmin Qureshi;6;Western Manchester;69692;8289;20555;1072;9627;1200;0;0;0
Bolton West;Chris Green;6;Western Manchester;72727;19744;18943;1947;7428;0;0;0;530
Bootle;Peter Dowd;5;Merseyside;70137;3639;33619;978;4915;1501;0;0;500
Boston and Skegness;Matt Warman;8;Lincolnshire;67834;18981;7142;1015;14645;800;0;0;756
Bosworth;David Tredinnick;10;Leicestershire;79742;22939;9354;11951;9338;0;0;0;0
Bournemouth East;Tobias Ellwood;18;Dorset;71956;22060;7448;3752;7401;3263;0;0;903
Bournemouth West;Conor Burns;18;Dorset;72082;20155;7386;3281;7745;3107;0;0;99
